controller;battery;memory_avaliable;total_memory_avaliable
controller 71;54;85;1741
controller 53;68;73;1495
controller 53;68;73;1495
controller 53;68;75;1536
controller 53;68;80;1638
controller 53;67;80;1638
controller 53;67;80;1638
controller 53;67;81;1659
controller 53;67;78;1597
controller 53;67;81;1659
controller 53;67;81;1659
controller 53;67;81;1659
controller 53;66;76;1556
controller 53;66;77;1577
controller 53;66;80;1638
controller 53;66;79;1618
controller 84;63;88;1802
controller 84;63;88;1802
controller 71;53;86;1761
controller 71;53;80;1638
controller 71;53;81;1659
controller 71;53;81;1659
controller 71;53;81;1659
controller 71;53;81;1659
controller 71;53;80;1638
controller 71;53;80;1638
controller 71;53;80;1638
controller 71;53;78;1597
controller 71;53;79;1618
controller 71;53;79;1618
controller 71;53;68;1393
controller 71;53;68;1393
controller 71;53;67;1372
controller 71;53;70;1434
controller 71;53;70;1434
controller 71;53;69;1413
controller 71;53;71;1454
controller 71;53;71;1454
controller 71;53;63;1290
controller 71;52;73;1495
controller 18;57;87;1782
controller 18;57;86;1761
controller 71;52;72;1475
controller 71;52;75;1536
controller 71;52;81;1659
controller 73;70;71;364
controller 73;70;72;369
controller 53;63;81;1659
controller 53;63;78;1597
controller 53;63;82;1679
controller 53;63;82;1679
controller 53;63;94;1925
controller 53;63;93;1905
controller 53;62;92;1884
controller 53;61;92;1884
controller 53;61;96;1966
controller 71;52;84;1720
controller 71;52;84;1720
controller 71;51;84;1720
controller 71;51;88;1802
controller 71;51;88;1802
controller 71;51;84;1720
controller 71;51;84;1720
controller 71;51;82;1679
controller 71;51;82;1679
controller 71;51;87;1782
controller 61;60;82;1679
controller 61;60;79;1618
controller 61;60;80;1638
controller 61;60;85;1741
controller 61;60;76;1556
controller 71;51;95;1946
controller 71;51;92;1884
controller 71;51;92;1884
controller 71;51;88;1802
controller 71;51;88;1802
controller 71;51;93;1905
controller 71;51;93;1905
controller 71;51;93;1905
controller 71;51;93;1905
controller 84;57;91;1864
controller 84;57;91;1864
controller 18;55;97;1987
controller 18;55;99;2028
controller 18;55;99;2028
controller 18;55;93;1905
controller 18;54;93;1905
controller 18;54;87;1782
controller 18;54;86;1761
controller 71;51;85;1741
controller 71;51;85;1741
controller 71;51;91;1864
controller 71;51;91;1864
controller 71;50;91;1864
controller 71;50;84;1720
controller 71;50;84;1720
controller 71;50;91;1864
controller 71;50;91;1864
controller 71;50;80;1638
controller 71;49;80;1638
controller 71;49;85;1741
controller 71;49;85;1741
controller 71;49;85;1741
controller 71;49;85;1741
controller 71;48;85;1741
controller 71;48;85;1741
controller 71;48;85;1741
controller 71;48;85;1741
controller 71;48;66;1352
controller 71;48;66;1352
controller 71;48;71;1454
controller 71;47;70;1434
controller 71;47;72;1475
controller 71;46;72;1475
controller 71;46;70;1434
controller 18;53;73;1495
controller 18;53;71;1454
controller 18;53;71;1454
controller 18;53;69;1413
controller 18;53;69;1413
controller 71;46;79;1618
controller 71;46;83;1700
controller 71;46;86;1761
controller 71;46;80;1638
controller 71;46;83;1700
controller 71;46;83;1700
controller 71;46;80;1638
controller 71;46;80;1638
controller 71;46;78;1597
controller 71;46;78;1597
controller 71;46;83;1700
controller 71;46;83;1700
controller 71;46;84;1720
controller 71;46;84;1720
controller 18;53;79;1618
controller 18;53;79;1618
controller 61;56;59;1208
controller 61;56;59;1208
controller 61;56;60;1229
controller 61;56;60;1229
controller 61;56;60;1229
controller 61;56;60;1229
controller 61;56;60;1229
controller 61;56;60;1229
controller 61;56;68;1393
controller 71;46;93;1905
controller 71;46;93;1905
controller 84;55;78;1597
controller 84;55;78;1597
controller 84;55;78;1597
controller 84;55;78;1597
controller 84;55;78;1597
controller 84;54;78;1597
controller 84;53;78;1597
controller 84;53;78;1597
controller 53;53;82;1679
controller 53;53;82;1679
controller 53;52;79;1618
controller 53;52;72;1475
controller 53;52;71;1454
controller 18;51;96;1966
controller 18;51;95;1946
controller 18;51;95;1946
controller 18;51;95;1946
controller 18;51;95;1946
controller 71;44;62;1270
controller 71;44;62;1270
controller 71;43;73;1495
controller 71;43;64;1311
controller 71;43;62;1270
controller 71;43;62;1270
controller 71;43;58;1188
controller 71;43;58;1188
controller 71;43;58;1188
controller 71;43;61;1249
controller 71;43;61;1249
controller 73;65;84;430
controller 73;64;84;430
controller 73;64;84;430
controller 73;64;84;430
controller 18;51;97;1987
controller 18;51;90;1843
controller 71;43;58;1188
controller 71;43;52;1065
controller 71;43;52;1065
controller 61;53;74;1516
controller 61;53;74;1516
controller 61;53;74;1516
controller 61;53;74;1516
controller 61;52;76;1556
controller 61;52;79;1618
controller 61;52;79;1618
controller 61;52;81;1659
controller 61;52;79;1618
controller 61;52;80;1638
controller 61;52;80;1638
controller 61;52;87;1782
controller 61;52;87;1782
controller 71;42;52;1065
controller 71;42;49;1004
controller 84;53;71;1454
controller 84;53;77;1577
controller 84;53;78;1597
controller 84;53;78;1597
controller 84;53;78;1597
controller 84;53;77;1577
controller 84;53;78;1597
controller 84;53;78;1597
controller 84;53;79;1618
controller 84;53;79;1618
controller 84;53;84;1720
controller 84;53;84;1720
controller 84;53;79;1618
controller 84;51;89;1823
controller 84;50;89;1823
controller 84;49;89;1823
controller 71;41;65;1331
controller 71;41;75;1536
controller 71;41;78;1597
controller 71;41;78;1597
controller 71;41;78;1597
controller 71;41;78;1597
controller 71;41;78;1597
controller 71;41;78;1597
controller 71;41;78;1597
controller 71;41;80;1638
controller 71;41;80;1638
controller 71;41;72;1475
controller 71;41;72;1475
controller 71;41;73;1495
controller 71;41;73;1495
controller 71;41;76;1556
controller 71;41;76;1556
controller 71;41;76;1556
controller 71;41;75;1536
controller 71;41;76;1556
controller 71;41;70;1434
controller 71;40;70;1434
controller 71;40;71;1454
controller 71;40;71;1454
controller 71;40;71;1454
controller 71;40;71;1454
controller 71;40;71;1454
controller 71;40;71;1454
controller 71;39;75;1536
controller 71;39;77;1577
controller 71;39;82;1679
controller 71;38;82;1679
controller 71;38;84;1720
controller 71;38;83;1700
controller 71;38;82;1679
controller 71;38;76;1556
controller 71;38;76;1556
controller 71;38;82;1679
controller 71;38;82;1679
controller 71;38;82;1679
controller 71;38;82;1679
controller 71;37;89;1823
controller 71;37;89;1823
controller 71;37;89;1823
controller 71;37;89;1823
controller 71;37;89;1823
controller 71;37;89;1823
controller 71;37;89;1823
controller 71;37;89;1823
controller 71;37;89;1823
controller 71;37;95;1946
controller 71;37;98;2007
controller 71;37;98;2007
controller 71;37;98;2007
controller 61;52;72;1475
controller 61;52;74;1516
controller 61;52;78;1597
controller 61;51;78;1597
controller 61;51;81;1659
controller 71;37;91;1864
controller 71;37;91;1864
controller 71;37;91;1864
controller 71;37;91;1864
controller 71;37;90;1843
controller 71;37;90;1843
controller 71;37;89;1823
controller 71;37;84;1720
controller 71;37;84;1720
controller 71;37;83;1700
controller 71;37;83;1700
controller 71;37;83;1700
controller 71;37;83;1700
controller 71;37;84;1720
controller 71;37;80;1638
controller 53;49;69;1413
controller 53;49;69;1413
controller 73;58;84;430
controller 73;58;76;389
controller 61;51;82;1679
controller 61;51;76;1556
controller 61;51;74;1516
controller 61;50;78;1597
controller 61;50;78;1597
controller 61;50;85;1741
controller 61;50;85;1741
controller 61;50;80;1638
controller 61;49;80;1638
controller 61;49;81;1659
controller 71;36;75;1536
controller 71;36;75;1536
controller 71;36;65;1331
controller 71;36;66;1352
controller 71;36;66;1352
controller 71;36;72;1475
controller 71;36;72;1475
controller 71;36;76;1556
controller 71;36;74;1516
controller 71;35;74;1516
controller 53;49;99;2028
controller 53;49;99;2028
controller 53;49;99;2028
controller 53;49;96;1966
controller 53;49;96;1966
controller 53;49;93;1905
controller 53;49;91;1864
controller 53;49;87;1782
controller 53;49;87;1782
controller 53;49;83;1700
controller 53;49;83;1700
controller 53;49;80;1638
controller 53;49;80;1638
controller 53;48;80;1638
controller 71;34;69;1413
controller 71;34;70;1434
controller 71;34;73;1495
controller 71;34;73;1495
controller 71;34;78;1597
controller 71;34;78;1597
controller 71;34;81;1659
controller 61;47;74;1516
controller 61;47;85;1741
controller 61;47;84;1720
controller 61;47;84;1720
controller 61;47;83;1700
controller 73;57;82;420
controller 73;57;71;364
controller 53;48;89;1823
controller 53;48;89;1823
controller 53;48;89;1823
controller 71;34;75;1536
controller 71;34;75;1536
controller 71;34;78;1597
controller 71;34;87;1782
controller 71;34;87;1782
controller 71;32;82;1679
controller 71;32;82;1679
controller 71;32;82;1679
controller 71;32;82;1679
controller 71;32;83;1700
controller 71;32;78;1597
controller 71;32;82;1679
controller 71;32;82;1679
controller 71;32;80;1638
controller 71;32;80;1638
controller 71;32;80;1638
controller 71;31;84;1720
controller 71;31;84;1720
controller 71;31;84;1720
controller 71;31;78;1597
controller 71;31;78;1597
controller 71;31;89;1823
controller 73;56;87;445
controller 73;56;73;374
controller 73;56;79;404
controller 61;45;85;1741
controller 61;45;85;1741
controller 61;45;85;1741
controller 61;45;85;1741
controller 53;46;95;1946
controller 53;46;96;1966
controller 53;45;91;1864
controller 53;45;91;1864
controller 53;45;94;1925
controller 53;45;94;1925
controller 53;45;96;1966
controller 53;45;96;1966
controller 53;44;93;1905
controller 53;44;90;1843
controller 53;44;90;1843
controller 53;44;90;1843
controller 53;44;90;1843
controller 53;44;90;1843
controller 53;44;90;1843
controller 53;44;79;1618
controller 53;43;80;1638
controller 71;30;78;1597
controller 71;30;77;1577
controller 71;30;79;1618
controller 71;30;78;1597
controller 71;30;78;1597
controller 71;30;80;1638
controller 71;30;80;1638
controller 71;30;80;1638
controller 71;30;80;1638
controller 71;30;80;1638
controller 71;30;80;1638
controller 71;30;84;1720
controller 71;30;84;1720
controller 71;30;84;1720
controller 71;30;84;1720
controller 71;30;85;1741
controller 71;30;84;1720
controller 71;30;82;1679
controller 71;29;82;1679
controller 71;29;88;1802
controller 71;29;89;1823
controller 71;29;89;1823
controller 71;29;78;1597
controller 71;29;78;1597
controller 71;29;77;1577
controller 71;29;66;1352
controller 71;29;59;1208
controller 71;29;57;1167
controller 71;28;57;1167
controller 71;28;57;1167
controller 71;28;57;1167
controller 71;28;52;1065
controller 71;28;52;1065
controller 71;28;54;1106
controller 71;28;54;1106
controller 71;27;58;1188
controller 71;27;56;1147
controller 71;27;56;1147
controller 71;26;60;1229
controller 61;43;88;1802
controller 61;43;88;1802
controller 61;43;71;1454
controller 61;43;71;1454
controller 61;43;81;1659
controller 61;42;80;1638
controller 53;42;98;2007
controller 53;42;98;2007
controller 53;42;98;2007
controller 53;42;96;1966
