X;Y
188;1.543208426380005E-6
189;1.5347404036525347E-7
190;3.220580246265925E-6
191;0.0
192;0.0
193;1.5909495942878493E-11
194;2.0964253999444793E-8
195;1.0734514610533097E-6
196;0.0
197;5.8668264248940005E-6
198;3.3306690738754696E-16
199;0.0
200;3.662992131836518E-11
201;2.4914091680816597E-6
202;0.0
203;1.9206858326015208E-14
204;0.0
205;1.4840351170164467E-12
206;1.0180159604189498E-6
207;2.947518840112906E-8
208;1.0635182112750385E-7
209;2.585640368479858E-9
210;0.0
211;7.071017896764786E-7
212;8.58661254099502E-7
213;1.6986412276764895E-14
214;0.0
215;0.0
216;0.0
217;0.0
218;0.0
219;2.758799623192587E-7
220;5.764752930903505E-6
221;0.0
222;2.8761437675939305E-12
223;0.0
224;3.348432642269472E-13
225;0.0
226;3.951787341804902E-9
227;6.480086329752055E-7
228;2.5711655027294E-12
229;1.717260778022478E-10
230;7.059368777317943E-7
231;0.0
232;1.7148055697635556E-7
233;1.1102230246251565E-16
234;1.8938635437670825E-8
235;0.0
236;0.0
237;1.8847548655109847E-7
238;0.0
239;2.465151349717587E-8
240;5.667700330724834E-6
241;0.0
242;0.0
243;9.826917057864648E-12
244;6.6975708312710935E-9
245;7.049472117159894E-12
246;1.887379141862766E-15
247;8.341982205006815E-8
248;5.551115123125783E-16
249;1.8764177102115198E-6
250;0.0
251;8.881784197001252E-16
252;9.14823772291129E-14
253;0.0
254;2.2846924352393216E-10
255;5.209208504552976E-6
256;1.0786138648910537E-10
257;0.0
258;4.499534078661327E-11
259;1.2212453270876722E-15
260;1.1102230246251565E-16
261;1.2440826147042117E-11
262;7.230285552495275E-7
263;0.0
264;3.4737857035338493E-10
265;1.4460778574587607E-8
266;0.0
267;0.0
268;5.295763827461997E-14
269;0.0
270;0.0
271;1.1619227802128762E-7
272;1.281042519507558E-6
273;0.0
274;3.4654145775192546E-8
275;1.460227729843666E-7
276;4.2219938656273825E-10
277;2.2297685620120689E-7
278;0.0
279;2.295108547656355E-11
280;5.97526483847588E-9
281;2.828696109569151E-7
282;0.0
283;3.87387466549427E-9
284;1.0871552547087049E-9
285;1.2353398637365842E-8
286;1.4520950553098544E-8
287;1.3375366688661572E-6
288;0.0
289;0.0
290;5.526723523274768E-11
291;1.1221016569251674E-6
292;4.556033061930975E-8
293;0.0
294;5.55399726209771E-10
295;5.242509695690956E-6
296;2.7785185234829868E-6
297;3.764414960638618E-6
298;1.1678347744403794E-7
299;0.0
300;9.632679554005819E-7
301;0.0
302;0.0
303;3.410943463233451E-7
304;4.313250701049043E-8
305;0.0
306;4.155670585426208E-9
307;8.10968605602369E-8
308;3.5462324654567112E-6
309;6.586567957711509E-10
310;3.5630996930713366E-8
311;1.3346277505377202E-7
312;4.092470806682513E-11
313;0.0
314;7.740585949989054E-12
315;2.639149367045235E-6
316;0.0
317;0.0
318;1.1192550575245264E-7
319;6.049208642333603E-6
320;4.030041399483153E-7
321;3.1086244689504383E-15
322;0.0
323;1.4876988529977098E-14
324;0.0
325;3.30479230825631E-6
326;0.0
327;3.000128613317443E-7
328;3.574918139293004E-14
329;0.0
330;5.813638448426417E-8
331;6.984601785831046E-11
332;1.898701085245591E-9
333;1.2202672406980142E-6
334;0.0
335;4.087941984920462E-9
336;0.0
337;3.187903607759779E-9
338;0.0
339;1.3428152122463288E-6
340;0.0
341;2.536982068868099E-9
342;9.024946245883569E-7
343;3.3121055897922247E-9
344;8.08242361927114E-14
345;0.0
346;0.0
347;1.7162971044371034E-10
348;1.8036431767010086E-6
349;0.0
350;0.0
351;0.0
352;0.0
353;2.233690239106245E-6
354;0.0
355;1.7144439514726884E-6
356;3.0370023621495434E-6
357;2.8088176201590542E-6
358;0.0
359;0.0
360;9.006539837264071E-7
361;0.0
362;0.0
363;1.4835316903827334E-6
364;0.0
365;1.5195306177773205E-6
366;3.146057365732702E-7
367;0.0
368;4.242278005550659E-7
369;2.2725139547929984E-9
370;0.0
371;1.2543250271779272E-6
372;0.0
373;0.0
374;1.3988810110276972E-14
375;4.3076653355456074E-14
376;2.646716179555142E-11
377;0.0
378;8.3723119659318E-8
379;1.1306511282782594E-12
380;4.4789545238232975E-6
381;0.0
382;1.1178058478833464E-11
383;0.0
384;5.752446963214197E-8
385;4.78506734236106E-9
386;1.7686301323482922E-7
387;5.0959236830294685E-14
388;1.0990464094362551E-10
389;0.0
390;0.0
391;2.0344492657198288E-7
392;0.0
393;0.0
394;1.3353357641854302E-8
395;1.4654943925052066E-14
396;0.0
397;1.0909037340134375E-8
398;0.0
399;4.9721338157837636E-11
400;1.847980017899431E-7
401;9.20298792728147E-9
402;2.2881696537524476E-13
403;5.551115123125783E-16
404;2.5761409006008762E-8
405;6.661338147750939E-16
406;2.6446354772780012E-8
407;4.022302380057852E-9
408;5.9394265601309115E-6
409;9.372930017681469E-7
410;4.633322862712674E-6
411;3.2227235613468963E-7
412;0.0
413;6.64418742246653E-9
414;4.1522341120980855E-14
415;8.982448440608692E-8
416;5.840117278665957E-11
417;1.532107773982716E-13
418;1.5578599094068224E-6
