round;w1;w2;w3;w4;w5
111;0.10600000000000001;0.35;0.244;0.15000000000000005;0.15000000000000002
112;0.10500000000000001;0.35;0.245;0.15000000000000005;0.15000000000000002
113;0.10500000000000001;0.35;0.245;0.15000000000000005;0.15000000000000002
114;0.10500000000000001;0.35;0.245;0.15000000000000005;0.15000000000000002
115;0.10500000000000001;0.35;0.245;0.15000000000000005;0.15000000000000002
116;0.10400000000000001;0.35;0.246;0.15000000000000005;0.15000000000000002
117;0.10550000000000001;0.35;0.2445;0.15000000000000005;0.15000000000000002
118;0.10550000000000001;0.35;0.2445;0.15000000000000005;0.15000000000000002
119;0.10550000000000001;0.35;0.2445;0.15000000000000005;0.15000000000000002
120;0.10550000000000001;0.35;0.2445;0.15000000000000005;0.15000000000000002
121;0.10500000000000001;0.35;0.245;0.15000000000000005;0.15000000000000002
122;0.10450000000000001;0.35;0.2455;0.15000000000000005;0.15000000000000002
123;0.10450000000000001;0.35;0.2455;0.15000000000000005;0.15000000000000002
124;0.10500000000000001;0.35;0.245;0.15000000000000005;0.15000000000000002
125;0.10500000000000001;0.35;0.245;0.15000000000000005;0.15000000000000002
126;0.10500000000000001;0.35;0.245;0.15000000000000005;0.15000000000000002
127;0.10400000000000001;0.35;0.246;0.15000000000000005;0.15000000000000002
128;0.10400000000000001;0.35;0.246;0.15000000000000005;0.15000000000000002
129;0.10500000000000001;0.35;0.245;0.15000000000000005;0.15000000000000002
130;0.10500000000000001;0.35;0.245;0.15000000000000005;0.15000000000000002
131;0.10500000000000001;0.35;0.245;0.15000000000000005;0.15000000000000002
132;0.10400000000000001;0.35;0.246;0.15000000000000005;0.15000000000000002
133;0.10400000000000001;0.35;0.246;0.15000000000000005;0.15000000000000002
134;0.10400000000000001;0.35;0.246;0.15000000000000005;0.15000000000000002
135;0.10400000000000001;0.35;0.246;0.15000000000000005;0.15000000000000002
136;0.10450000000000001;0.35;0.2455;0.15000000000000005;0.15000000000000002
137;0.10400000000000001;0.35;0.246;0.15000000000000005;0.15000000000000002
138;0.10400000000000001;0.35;0.246;0.15000000000000005;0.15000000000000002
139;0.10500000000000001;0.35;0.245;0.15000000000000005;0.15000000000000002
140;0.10500000000000001;0.35;0.245;0.15000000000000005;0.15000000000000002
141;0.10400000000000001;0.35;0.246;0.15000000000000005;0.15000000000000002
142;0.10450000000000001;0.35;0.2455;0.15000000000000005;0.15000000000000002
143;0.10450000000000001;0.35;0.2455;0.15000000000000005;0.15000000000000002
144;0.10450000000000001;0.35;0.2455;0.15000000000000005;0.15000000000000002
145;0.10450000000000001;0.35;0.2455;0.15000000000000005;0.15000000000000002
146;0.10400000000000001;0.35;0.246;0.15000000000000005;0.15000000000000002
147;0.10400000000000001;0.35;0.246;0.15000000000000005;0.15000000000000002
148;0.10400000000000001;0.35;0.246;0.15000000000000005;0.15000000000000002
149;0.10400000000000001;0.35;0.246;0.15000000000000005;0.15000000000000002
150;0.10400000000000001;0.35;0.246;0.15000000000000005;0.15000000000000002
151;0.10500000000000001;0.35;0.245;0.15000000000000005;0.15000000000000002
152;0.10400000000000001;0.35;0.246;0.15000000000000005;0.15000000000000002
153;0.10400000000000001;0.35;0.246;0.15000000000000005;0.15000000000000002
154;0.10400000000000001;0.35;0.246;0.15000000000000005;0.15000000000000002
155;0.10400000000000001;0.35;0.246;0.15000000000000005;0.15000000000000002
156;0.10450000000000001;0.35;0.2455;0.15000000000000005;0.15000000000000002
157;0.10350000000000001;0.35;0.2465;0.15000000000000005;0.15000000000000002
158;0.10350000000000001;0.35;0.2465;0.15000000000000005;0.15000000000000002
159;0.10350000000000001;0.35;0.2465;0.15000000000000005;0.15000000000000002
160;0.10350000000000001;0.35;0.2465;0.15000000000000005;0.15000000000000002
161;0.10400000000000001;0.35;0.246;0.15000000000000005;0.15000000000000002
162;0.10350000000000001;0.35;0.2465;0.15000000000000005;0.15000000000000002
163;0.10350000000000001;0.35;0.2465;0.15000000000000005;0.15000000000000002
164;0.10300000000000001;0.35;0.247;0.15000000000000005;0.15000000000000002
165;0.10300000000000001;0.35;0.247;0.15000000000000005;0.15000000000000002
166;0.10250000000000001;0.35;0.2475;0.15000000000000005;0.15000000000000002
167;0.10300000000000001;0.35;0.247;0.15000000000000005;0.15000000000000002
